activ,rtype,depth,high,shgt,usedhgt,weight,usedwgt,slottype,link,serial,mixbatch,mixitems,noalloc,frzstock,radionum,width,wide,usedwidth,check_num,pltperpos,oldslot,autoreleas,mixitemmov,fznomove,movetoslot,desc,item,sdepth,usedvol,svolume,isrecvbay,usedeffrz,deffrzcode,loccode,aisle,bay,level,position,loccodemt,aislemt,baymt,levelmt,positionmt,ispickslot,area,okpickslot,multiitmpk,hostloc,replenmeth,mixuseby,chargegrp,stkcfgmvfr,okstkcfgmv,cycitmacc,category,addsltocyc,counttimes,canmvfrz,donotpick,lstcounted
Y,1,1,1,1500,630,1000,112.7,R, ,0, , ,F, ,,1210,1,1310,85,F,01311C,F, ,F,,,,1210,3.0375,2.808,F, ,,  R, II,31, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,614,1000,168,R, ,0, , ,F, ,,1210,1,1310,3,F,01312B,F, ,F,,,,1210,1.08108,2.808,F, ,,  R, II,31, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,284,1000,80.4,R, ,0, , ,F, ,,1210,1,1310,95,F,01312C,F, ,F,,,,1210,1.18332,2.808,F, ,,  R, II,31, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,706,1000,141.3,R, ,0, , ,F, ,,1210,1,1310,8,F,01331B,F, ,F,,,,1210,1.9022,2.808,F, ,,  R, II,33, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,918,1000,267.75,R, ,0, , ,F, ,,1210,1,1310,38,F,01331C,F, ,F,,,,1210,0.42412,2.808,F, ,,  R, II,33, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,787,1000,174.8,R, ,0, , ,F, ,,1210,1,1310,31,F,01332B,F, ,F,,,,1210,1.40238,2.808,F, ,,  R, II,33, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,458,1000,147.2,R, ,0, , ,F, ,,1210,1,1310,80,F,01332C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,33, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,918,1000,267.75,R, ,0, , ,F, ,,1210,1,1310,63,F,01351B,F, ,F,,,,1210,0,2.808,F, ,,  R, II,35, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,39,1000,9.4,R, ,0, , ,F, ,,1210,1,1310,1,F,01351C,F, ,F,,,,1210,1.52082,2.808,F, ,,  R, II,35, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,373,1000,109.9,R, ,0, , ,F, ,,1210,1,1310,98,F,01352B,F, ,F,,,,1210,1.35518,2.808,F, ,,  R, II,35, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,211,1000,77.95,R, ,0, , ,F, ,,1210,1,1310,74,F,01352C,F, ,F,,,,1210,1.52082,2.808,F, ,,  R, II,35, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
