item,des,externalid,owner,hits,units,aveunitday,cases,pallets,cube,unitpcase,dayshit,physqty,contnum,familycode,ti,hi,majgroup,mingroup,catagory,loccode,aisle,bay,level,position
"       48863","ECO RECYCLED NAVY 1.5MX2.65M TABL","","LAD",3,2,0.667,0.167,0.007,0.027950,12,3,84.000,"","",6,4,"","","","  R"," EE"," 28"," 3"," 1"
"       48864","ECO RECYCLED NAVY 1.5MX3M TABLECL","","LAD",3,2,0.667,0.167,0.007,0.033540,12,3,112.000,"","",6,4,"","","","  R"," EE"," 28"," 3"," 2"
"       48865","ECO RECYCLED BEIGE 1.5MX2.25M TAB","","LAD",1,4,4.000,0.333,0.014,0.019870,12,1,96.000,"","",6,4,"","","","  R"," EE"," 28"," 3"," 3"
"       48866","ECO RECYCLED BEIGE 1.5MX2.65M TAB","","LAD",3,2,0.667,0.167,0.007,0.044720,12,3,74.000,"","",6,4,"","","","  R"," EE"," 28"," 3"," 4"
"       48867","ECO RECYCLED BEIGE 1.5MX3M TABLEC","","LAD",1,4,4.000,0.333,0.014,0.022360,12,1,122.000,"","",6,4,"","","","  R"," EE"," 28"," 3"," 5"
"       48868","ECO EDEN RIBBED TERRACOTTA PLACEM","","LAD",5,12,3.000,0.167,0.007,0.015650,72,4,240.000,"","",6,4,"","","","  R"," DD"," 47"," 1"," 4"
"       48869","ECO EDEN RIBBED TERRACOTTA RUNNER","","LAD",4,3,0.750,0.125,0.005,0.014170,24,4,314.000,"","",6,4,"","","","  R"," DD"," 47"," 4"," 5"
"       48874","HOST CHARCOAL PLACEMAT","","LAD",8,24,8.000,0.167,0.007,0.035190,144,3,96.000,"","",6,4,"","","","  R"," DD"," 31"," 1"," 3"
"       48875","HOST CHARCOAL RUNNER","","LAD",12,6,1.200,0.250,0.010,0.069140,24,5,89.000,"","",6,4,"","","","  R"," CC"," 21"," 1"," 4"
"       48876","HOST SAGE PLACEMAT","","LAD",6,24,8.000,0.167,0.007,0.031280,144,3,108.000,"","",6,4,"","","","  R"," CC"," 21"," 1"," 5"
"       48877","HOST SAGE RUNNER","","LAD",8,6,1.200,0.250,0.010,0.052830,24,5,81.000,"","",6,4,"","","","  R"," DD"," 31"," 2"," 4"
"       48878","HOST STONE PLACEMAT","","LAD",8,24,8.000,0.167,0.007,0.043010,144,3,36.000,"","",6,4,"","","","  R"," DD"," 31"," 2"," 6"
"       48879","HOST STONE RUNNER","","LAD",8,3,0.500,0.125,0.005,0.041490,24,6,83.000,"","",6,4,"","","","  R"," DD"," 32"," 1"," 1"
"       48879","HOST STONE RUNNER","","LAD",1,1,1.000,0.042,0.002,0.001220,24,1,83.000,"","",6,4,"","","","  R"," NN"," 26"," B"," 1"
"       48880","REPOSE RIBBED DENIM PLACEMAT","","LAD",6,12,3.000,0.167,0.007,0.032830,72,4,12.000,"","",6,4,"","","","  R"," CC"," 22"," 3"," 4"
"       48881","REPOSE RIBBED DENIM RUNNER","","LAD",3,6,2.000,0.250,0.010,0.014180,24,3,92.000,"","",6,4,"","","","  R"," CC"," 22"," 3"," 5"
"       48882","REPOSE RIBBED LIGHT GREY PLACEMAT","","LAD",2,24,24.000,0.333,0.014,0.018760,72,1,36.000,"","",6,4,"","","","  R"," CC"," 22"," 3"," 6"
"       48883","REPOSE RIBBED LIGHT GREY RUNNER","","LAD",4,6,1.500,0.250,0.010,0.021410,24,4,84.000,"","",6,4,"","","","  R"," CC"," 22"," 4"," 1"
"       48884","REPOSE RIBBED CHARCOAL PLACEMAT","","LAD",3,60,20.000,0.833,0.035,0.030970,72,3,24.000,"","",6,4,"","","","  R"," CC"," 22"," 4"," 2"
"       48884","REPOSE RIBBED CHARCOAL PLACEMAT","","LAD",1,6,6.000,0.083,0.003,0.002820,72,1,24.000,"","",6,4,"","","","  R"," HH"," 37"," 4"," 1"
"       48885","REPOSE RIBBED CHARCOAL RUNNER","","LAD",6,3,0.600,0.125,0.005,0.034260,24,5,39.000,"","",6,4,"","","","  R"," CC"," 22"," 4"," 3"
"       48886","REPOSE RIBBED NAVY PLACEMAT","","LAD",5,12,3.000,0.167,0.007,0.028140,72,4,108.000,"","",6,4,"","","","  R"," CC"," 22"," 4"," 4"
